Al,Co,Cr,Cu,Fe,Mg,Mn,Ni,Si,Ti,V,Zn,YS,UTS,Elongation
94.36178108,0,0.058112172,0.999163572,1.04E-05,0.859349446,6.45E-06,2.90E-07,3.74E-09,0.00904906,0.00605262,3.759134033,2483.882971,2484.081964,-272.8314761
94.37232692,0,0.087683397,0.862935686,0.000326642,0.859602975,0.002171274,0.001036426,1.20E-06,0.004381871,0.00853687,3.800992876,1446.945443,1442.186086,-153.7583123
94.37352157,0,0.111918039,0.833369709,4.00E-08,0.845154911,0,1.30E-10,5.16E-06,1.29E-06,0.006895406,3.82931262,10271.8049,10319.95056,-1167.145623
94.37719833,0,0.058971521,0.897828125,0.01960329,0.862008281,1.31E-08,7.79E-08,6.02E-07,0.003655632,0.008982264,3.771723141,23264.66883,23394.78927,-2659.022777
94.37719833,0,0.058971521,0.897828125,0.01960329,0.862008281,0.000615266,7.79E-08,6.02E-07,0.003684437,0.008560162,3.771723141,23264.66872,23394.78916,-2659.022673
94.38523372,0,0.077219397,0.91451428,0.000217893,0.875197887,0.000850057,0,2.06E-08,5.90E-05,0.009418629,3.691525875,2041.618745,2039.418155,-222.0530465
94.38523372,0,0.077219397,0.91451428,0.000217893,0.898945739,0.000850057,0,2.06E-08,8.50E-05,0.009418629,3.691525875,2041.6429,2039.44231,-222.0772014
94.4183501,0,0.055202526,0.768159921,0.008798496,0.936696638,0.001155378,0.000105221,8.37E-07,0.001684145,0.016389217,3.793360286,1812.710508,1809.376527,-195.7546923
94.42764503,0,0.046417573,1.049306194,0.00016147,0.741561849,0,0.020551281,1.60E-07,0.005895305,0.002908877,3.70546258,1965.57301,1963.021729,-213.3719446
94.43311703,0,0.087327607,0.812357118,2.30E-08,0.884710909,2.43E-05,9.74E-07,5.25E-06,3.87E-05,0.014558222,3.767760549,20492.89506,20605.50988,-2340.762913
94.43311703,0,0.08732773,0.812357118,2.30E-09,0.884710909,2.43E-05,9.74E-07,5.25E-06,3.87E-05,0.014558222,3.772855775,20492.88996,20605.50479,-2340.757818
94.43771846,0,0.095390333,0.684033744,0.000494611,0.817835661,0,8.47E-08,2.73E-08,0.006228491,0.017923658,3.828549039,1051.824884,1045.792847,-108.151718
94.43771846,0,0.095390333,0.795940058,0.000332696,0.817835661,0,8.47E-08,2.73E-08,0.006228491,0.017923658,3.828549039,1051.931781,1045.899745,-108.2586157
94.43772959,0,0.071042197,0.86219223,0.022857044,0.86751538,4.30E-09,5.08E-07,4.49E-07,0.000272725,0.000124292,3.738182922,1235.804385,1230.088283,-129.5944278
94.43772959,0,0.080282462,0.86219223,0.022857044,0.86751538,4.30E-09,5.08E-07,4.49E-07,0.000272725,0.000124289,3.738182922,1235.795039,1230.078937,-129.5850815
94.44320478,0,0.092279633,0.914945001,0.018620228,0.695092188,7.45E-07,7.91E-07,2.86E-07,0.001694094,0.018217154,3.816043762,302418.6511,304315.3296,-34712.13023
94.44468307,0,0.0835746,0.816418567,2.07E-06,0.89219582,0.001934197,6.69E-08,6.55E-09,6.55E-09,0.00519525,3.756536077,1005.40107,999.1711181,-103.0854332
